ecoprov,measure,slope_percentperyear,slope_lci,slope_uci,validstat,intercept,start_year,end_year
COAST AND MOUNTAINS,swe,0.167904056362775,-0.367199611812952,0.706430697408671,FALSE,-341.77268245325,1950,2014
GEORGIA DEPRESSION,swe,-0.361931282410084,-1.03151944095105,0.161542853672396,FALSE,722.787625880028,1950,2014
CENTRAL INTERIOR,swe,-0.528145057703286,-1.02190896165572,-0.0230947598233751,TRUE,1052.29749382208,1950,2014
SOUTHERN INTERIOR,swe,-0.71684602627901,-1.13195275805153,-0.3096778638411,TRUE,1435.5255375756,1950,2014
SOUTHERN INTERIOR MOUNTAINS,swe,-0.476306367796394,-0.794753413663393,-0.136615527307192,TRUE,952.738808722195,1950,2014
SUB-BOREAL INTERIOR,swe,0.104050781306685,-0.195127909988497,0.376802215161779,FALSE,-210.03032305647,1950,2014
BOREAL PLAINS,swe,-0.0713529644080735,-0.478896835578743,0.315841596229758,FALSE,140.197366535317,1950,2014
TAIGA PLAINS,swe,0.349040511296761,-0.231439242835767,0.88356401731831,FALSE,-699.480805350051,1950,2014
NORTHERN BOREAL MOUNTAINS,swe,0.397561532472214,-0.133628685314222,0.969998211320854,FALSE,-799.427376477008,1950,2014
COAST AND MOUNTAINS,depth,-0.0768361895773579,-0.795325924282885,0.649659733110637,FALSE,142.173226927415,1950,2014
GEORGIA DEPRESSION,depth,-0.610531717984248,-1.27705794066102,-0.00640143115913186,TRUE,1216.96750577254,1950,2014
CENTRAL INTERIOR,depth,-1.03465302035792,-1.91108722858168,-0.316590093220059,TRUE,2073.59122417792,1950,2014
SOUTHERN INTERIOR,depth,-1.09845258106358,-1.55001081400455,-0.611230858223675,TRUE,2195.20659657576,1950,2014
SOUTHERN INTERIOR MOUNTAINS,depth,-0.739317947778792,-1.11799488077164,-0.359405019216741,TRUE,1478.31959890448,1950,2014
SUB-BOREAL INTERIOR,depth,-0.0296748856698196,-0.408003694213738,0.328506863238857,FALSE,60.3580083024724,1950,2014
BOREAL PLAINS,depth,-0.103971288475607,-0.547375792936692,0.327599707598394,FALSE,213.004420761967,1950,2014
TAIGA PLAINS,depth,0.146724586693521,-0.408949782300303,0.740446262046284,FALSE,-287.443904037888,1950,2014
NORTHERN BOREAL MOUNTAINS,depth,0.334485552386725,-0.22331362703239,0.802561796647736,FALSE,-670.38435066236,1950,2014
